STOCKJOIN,SERIESNAME,Group,Year,Value,Stdev,Scale
none,bts_bootstrap,Arrowtooth,1984,4.209321583,0.381237337,1
none,bts_bootstrap,Arrowtooth,1987,3.714876015,0.330526352,1
none,bts_bootstrap,Arrowtooth,1990,7.03019302,0.620629446,1
none,bts_bootstrap,Arrowtooth,1993,6.10554672,0.449391188,1
none,bts_bootstrap,Arrowtooth,1996,6.168435207,0.498217167,1
none,bts_bootstrap,Arrowtooth,1999,3.751674345,0.267795678,1
none,bts_bootstrap,Arrowtooth,2001,6.38788607,0.778853836,1
none,bts_bootstrap,Arrowtooth,2003,9.794606561,1.452304064,1
none,bts_bootstrap,Arrowtooth,2005,6.702333418,0.492275493,1
none,bts_bootstrap,Arrowtooth,2007,6.826564464,0.585397835,1
none,bts_bootstrap,Arrowtooth,2009,5.585024388,0.487165023,1
none,bts_bootstrap,Arrowtooth,2011,5.393022848,0.546697548,1
none,bts_bootstrap,Arrowtooth,2013,4.702785614,0.597024304,1
none,bts_bootstrap,Arrowtooth,2015,5.723925924,0.557207752,1
none,bts_bootstrap,Bairdi,1984,0.01616873,0.00309296,1
none,bts_bootstrap,Bairdi,1987,0.006519843,0.002740122,1
none,bts_bootstrap,Bairdi,1990,0.00334854,0.000825812,1
none,bts_bootstrap,Bairdi,1993,0.024998996,0.03262198,1
none,bts_bootstrap,Bairdi,1996,0.005919732,0.001563228,1
none,bts_bootstrap,Bairdi,1999,0.013345942,0.010977765,1
none,bts_bootstrap,Bairdi,2001,0.019797959,0.008732448,1
none,bts_bootstrap,Bairdi,2003,0.029313719,0.016353822,1
none,bts_bootstrap,Bairdi,2005,0.016700304,0.002773978,1
none,bts_bootstrap,Bairdi,2007,0.015016839,0.003973243,1
none,bts_bootstrap,Bairdi,2009,0.077308841,0.036392505,1
none,bts_bootstrap,Bairdi,2011,0.02655868,0.011259123,1
none,bts_bootstrap,Bairdi,2013,0.008975756,0.001800037,1
none,bts_bootstrap,Bairdi,2015,0.011289948,0.007511999,1
none,bts_bootstrap,Basin.forage,1984,3.74E-05,1.11E-05,-1
none,bts_bootstrap,Basin.forage,1987,0.000304442,0.000171921,-1
none,bts_bootstrap,Basin.forage,1990,0.000199895,0.000103934,-1
none,bts_bootstrap,Basin.forage,1993,0.000275971,0.000119791,-1
none,bts_bootstrap,Basin.forage,1996,0.000748383,0.000402028,-1
none,bts_bootstrap,Basin.forage,1999,0.00176534,0.000367932,-1
none,bts_bootstrap,Basin.forage,2001,0.000232428,0.000171676,-1
none,bts_bootstrap,Basin.forage,2003,0.000876893,0.000276419,-1
none,bts_bootstrap,Basin.forage,2005,0.000995229,0.000189023,-1
none,bts_bootstrap,Basin.forage,2007,0.000700426,0.000160578,-1
none,bts_bootstrap,Basin.forage,2009,0.000724122,0.000197314,-1
none,bts_bootstrap,Basin.forage,2011,0.002956175,0.002389561,-1
none,bts_bootstrap,Basin.forage,2013,0.0008822,0.000303174,-1
none,bts_bootstrap,Basin.forage,2015,0.001926499,0.000426624,-1
none,bts_bootstrap,Benthic.zoop,1984,0.000542457,0.000455627,-1
none,bts_bootstrap,Benthic.zoop,1987,0.000959554,0.000669442,-1
none,bts_bootstrap,Benthic.zoop,1990,0.002654273,0.001569643,-1
none,bts_bootstrap,Benthic.zoop,1993,0.003341478,0.001365548,-1
none,bts_bootstrap,Benthic.zoop,1996,0.004507868,0.002529306,-1
none,bts_bootstrap,Benthic.zoop,1999,0.002526698,0.001443331,-1
none,bts_bootstrap,Benthic.zoop,2001,0.005432781,0.002389774,-1
none,bts_bootstrap,Benthic.zoop,2003,0.002572295,0.001418931,-1
none,bts_bootstrap,Benthic.zoop,2005,0.00386491,0.001738972,-1
none,bts_bootstrap,Benthic.zoop,2007,0.001516061,0.000548606,-1
none,bts_bootstrap,Benthic.zoop,2009,0.003274378,0.00153316,-1
none,bts_bootstrap,Benthic.zoop,2011,0.002087182,0.001453078,-1
none,bts_bootstrap,Benthic.zoop,2013,0.003936776,0.002424633,-1
none,bts_bootstrap,Benthic.zoop,2015,0.001567327,0.000354015,-1
none,bts_bootstrap,Capelin,1984,0.0010662,0.001812817,-1
none,bts_bootstrap,Capelin,1987,0.000132024,4.68E-05,-1
none,bts_bootstrap,Capelin,1990,0.000517435,0.000243417,-1
none,bts_bootstrap,Capelin,1993,0.000261652,0.000109838,-1
none,bts_bootstrap,Capelin,1996,0.005760457,0.004126334,-1
none,bts_bootstrap,Capelin,1999,0.000828415,0.000361683,-1
none,bts_bootstrap,Capelin,2001,0.001279816,0.000344081,-1
none,bts_bootstrap,Capelin,2003,0.053775332,0.064649175,-1
none,bts_bootstrap,Capelin,2005,0.002963509,0.001165255,-1
none,bts_bootstrap,Capelin,2007,0.002837128,0.001466641,-1
none,bts_bootstrap,Capelin,2009,0.001693745,0.000419268,-1
none,bts_bootstrap,Capelin,2011,0.001665541,0.000751404,-1
none,bts_bootstrap,Capelin,2013,0.013636168,0.010296104,-1
none,bts_bootstrap,Capelin,2015,0.000462669,0.000161511,-1
none,bts_bootstrap,Dogfish,1984,0.024496339,0.004626931,1
none,bts_bootstrap,Dogfish,1987,0.023488604,0.004263554,1
none,bts_bootstrap,Dogfish,1990,0.053381713,0.015607346,1
none,bts_bootstrap,Dogfish,1993,0.086839343,0.016255999,1
none,bts_bootstrap,Dogfish,1996,0.125475161,0.172490735,1
none,bts_bootstrap,Dogfish,1999,0.10475347,0.016334153,1
none,bts_bootstrap,Dogfish,2001,0.071384002,0.022757406,1
none,bts_bootstrap,Dogfish,2003,0.278320096,0.061221353,1
none,bts_bootstrap,Dogfish,2005,0.158197961,0.031768528,1
none,bts_bootstrap,Dogfish,2007,0.411926396,0.131328648,1
none,bts_bootstrap,Dogfish,2009,0.083832088,0.011941668,1
none,bts_bootstrap,Dogfish,2011,0.101693553,0.026010305,1
none,bts_bootstrap,Dogfish,2013,0.456304343,0.313625335,1
none,bts_bootstrap,Dogfish,2015,0.154447261,0.052345812,1
none,bts_bootstrap,Euphausiids,1984,NA,NA,1
none,bts_bootstrap,Euphausiids,1987,NA,NA,1
none,bts_bootstrap,Euphausiids,1990,NA,NA,1
none,bts_bootstrap,Euphausiids,1993,NA,NA,1
none,bts_bootstrap,Euphausiids,1996,NA,NA,1
none,bts_bootstrap,Euphausiids,1999,NA,NA,1
none,bts_bootstrap,Euphausiids,2001,NA,NA,1
none,bts_bootstrap,Euphausiids,2003,NA,NA,1
none,bts_bootstrap,Euphausiids,2005,NA,NA,1
none,bts_bootstrap,Euphausiids,2007,NA,NA,1
none,bts_bootstrap,Euphausiids,2009,NA,NA,1
none,bts_bootstrap,Euphausiids,2011,NA,NA,1
none,bts_bootstrap,Euphausiids,2013,NA,NA,1
none,bts_bootstrap,Euphausiids,2015,NA,NA,1
none,bts_bootstrap,Grenadiers,1984,0.492715962,0.079426569,1
none,bts_bootstrap,Grenadiers,1987,0.417843872,0.098075162,1
none,bts_bootstrap,Grenadiers,1990,0.170971707,0.169527855,1
none,bts_bootstrap,Grenadiers,1993,0.335938047,0.125975713,1
none,bts_bootstrap,Grenadiers,1996,0.326258767,0.071576063,1
none,bts_bootstrap,Grenadiers,1999,1.377840158,0.16373119,1
none,bts_bootstrap,Grenadiers,2001,1.269766954,0.514388507,1
none,bts_bootstrap,Grenadiers,2003,1.745114239,0.388060088,1
none,bts_bootstrap,Grenadiers,2005,2.129201232,0.384598083,1
none,bts_bootstrap,Grenadiers,2007,1.424072356,0.238166282,1
none,bts_bootstrap,Grenadiers,2009,1.423717467,0.385784543,1
none,bts_bootstrap,Grenadiers,2011,1.394200014,0.386453404,1
none,bts_bootstrap,Grenadiers,2013,1.324321194,0.31624981,1
none,bts_bootstrap,Grenadiers,2015,1.244148679,0.243129846,1
none,bts_bootstrap,Herring,1984,0.149308012,0.247724573,1
none,bts_bootstrap,Herring,1987,0.188688191,0.279343849,1
none,bts_bootstrap,Herring,1990,0.040073487,0.033929599,1
none,bts_bootstrap,Herring,1993,0.068245424,0.087454873,1
none,bts_bootstrap,Herring,1996,0.002794804,0.001271895,1
none,bts_bootstrap,Herring,1999,0.13186825,0.168965442,1
none,bts_bootstrap,Herring,2001,0.196410938,0.508653548,1
none,bts_bootstrap,Herring,2003,0.038280071,0.018456765,1
none,bts_bootstrap,Herring,2005,0.01926446,0.019406499,1
none,bts_bootstrap,Herring,2007,0.10435177,0.090768399,1
none,bts_bootstrap,Herring,2009,0.072770905,0.130940115,1
none,bts_bootstrap,Herring,2011,0.073569586,0.054108611,1
none,bts_bootstrap,Herring,2013,0.210868458,0.304650062,1
none,bts_bootstrap,Herring,2015,0.19274265,0.187542264,1
none,bts_bootstrap,Infauna,1984,0.004441308,0.002776042,1
none,bts_bootstrap,Infauna,1987,0.001014114,0.000421241,1
none,bts_bootstrap,Infauna,1990,0.002806397,0.000829065,1
none,bts_bootstrap,Infauna,1993,0.010007538,0.006092037,1
none,bts_bootstrap,Infauna,1996,0.00997585,0.00261888,1
none,bts_bootstrap,Infauna,1999,0.009331883,0.002159802,1
none,bts_bootstrap,Infauna,2001,0.01682276,0.006420536,1
none,bts_bootstrap,Infauna,2003,0.025074482,0.010983731,1
none,bts_bootstrap,Infauna,2005,0.015491715,0.004369926,1
none,bts_bootstrap,Infauna,2007,0.016209341,0.008077625,1
none,bts_bootstrap,Infauna,2009,0.013540433,0.003343403,1
none,bts_bootstrap,Infauna,2011,0.01059356,0.002320782,1
none,bts_bootstrap,Infauna,2013,0.007685488,0.001720869,1
none,bts_bootstrap,Infauna,2015,0.009297829,0.001664776,1
none,bts_bootstrap,Jellyfish,1984,0.02867203,0.005975044,1
none,bts_bootstrap,Jellyfish,1987,0.041479511,0.007687472,1
none,bts_bootstrap,Jellyfish,1990,0.261467148,0.024336707,1
none,bts_bootstrap,Jellyfish,1993,0.058912838,0.012677261,1
none,bts_bootstrap,Jellyfish,1996,0.046672143,0.01135544,1
none,bts_bootstrap,Jellyfish,1999,0.015743708,0.002503873,1
none,bts_bootstrap,Jellyfish,2001,0.069010862,0.013092177,1
none,bts_bootstrap,Jellyfish,2003,0.045937836,0.00531706,1
none,bts_bootstrap,Jellyfish,2005,0.039363215,0.010661481,1
none,bts_bootstrap,Jellyfish,2007,0.00490062,0.001556198,1
none,bts_bootstrap,Jellyfish,2009,0.059582058,0.008194795,1
none,bts_bootstrap,Jellyfish,2011,0.007831756,0.002149988,1
none,bts_bootstrap,Jellyfish,2013,0.079903068,0.017217421,1
none,bts_bootstrap,Jellyfish,2015,0.103932621,0.011716351,1
none,bts_bootstrap,King.Crab,1984,0.007024601,0.003814672,1
none,bts_bootstrap,King.Crab,1987,NA,NA,1
none,bts_bootstrap,King.Crab,1990,NA,NA,1
none,bts_bootstrap,King.Crab,1993,0.000353977,0.000218306,1
none,bts_bootstrap,King.Crab,1996,0.000678461,0.000397429,1
none,bts_bootstrap,King.Crab,1999,0.000357861,0.000174036,1
none,bts_bootstrap,King.Crab,2001,0.002247193,0.00373498,1
none,bts_bootstrap,King.Crab,2003,0.009251717,0.028049418,1
none,bts_bootstrap,King.Crab,2005,NA,NA,1
none,bts_bootstrap,King.Crab,2007,0.000257458,0.000140859,1
none,bts_bootstrap,King.Crab,2009,0.001389631,0.001227433,1
none,bts_bootstrap,King.Crab,2011,0.001679338,0.003218228,1
none,bts_bootstrap,King.Crab,2013,NA,NA,1
none,bts_bootstrap,King.Crab,2015,0.000454654,0.000292217,1
none,bts_bootstrap,Lg.Sculpins,1984,0.137581352,0.011250018,1
none,bts_bootstrap,Lg.Sculpins,1987,0.104049058,0.012308285,1
none,bts_bootstrap,Lg.Sculpins,1990,0.086640549,0.019487694,1
none,bts_bootstrap,Lg.Sculpins,1993,0.079422,0.011944732,1
none,bts_bootstrap,Lg.Sculpins,1996,0.096888,0.020502582,1
none,bts_bootstrap,Lg.Sculpins,1999,0.102215582,0.012408613,1
none,bts_bootstrap,Lg.Sculpins,2001,0.143473189,0.041191378,1
none,bts_bootstrap,Lg.Sculpins,2003,0.092462284,0.010220909,1
none,bts_bootstrap,Lg.Sculpins,2005,0.114340226,0.011453001,1
none,bts_bootstrap,Lg.Sculpins,2007,0.111443101,0.013333476,1
none,bts_bootstrap,Lg.Sculpins,2009,0.141484105,0.01737545,1
none,bts_bootstrap,Lg.Sculpins,2011,0.110120519,0.012603762,1
none,bts_bootstrap,Lg.Sculpins,2013,0.117808707,0.015268335,1
none,bts_bootstrap,Lg.Sculpins,2015,0.132369481,0.020165777,1
none,bts_bootstrap,Misc.fish.deep,1984,4.15E-06,2.07E-06,1
none,bts_bootstrap,Misc.fish.deep,1987,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1990,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1993,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1996,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,1999,0.000110661,5.12E-05,1
none,bts_bootstrap,Misc.fish.deep,2001,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,2003,1.10E-05,5.08E-06,1
none,bts_bootstrap,Misc.fish.deep,2005,6.16E-05,2.50E-05,1
none,bts_bootstrap,Misc.fish.deep,2007,7.70E-05,6.10E-05,1
none,bts_bootstrap,Misc.fish.deep,2009,2.40E-05,1.71E-05,1
none,bts_bootstrap,Misc.fish.deep,2011,1.02E-05,6.19E-06,1
none,bts_bootstrap,Misc.fish.deep,2013,NA,NA,1
none,bts_bootstrap,Misc.fish.deep,2015,3.83E-05,1.56E-05,1
none,bts_bootstrap,Misc.fish.shallow,1984,0.209352394,0.137170169,1
none,bts_bootstrap,Misc.fish.shallow,1987,0.136877238,0.073765044,1
none,bts_bootstrap,Misc.fish.shallow,1990,0.219430101,0.23705619,1
none,bts_bootstrap,Misc.fish.shallow,1993,0.150029697,0.060196659,1
none,bts_bootstrap,Misc.fish.shallow,1996,1.100154851,3.070509321,1
none,bts_bootstrap,Misc.fish.shallow,1999,0.059180923,0.010251977,1
none,bts_bootstrap,Misc.fish.shallow,2001,1.593686713,5.866264945,1
none,bts_bootstrap,Misc.fish.shallow,2003,0.262778685,0.082816713,1
none,bts_bootstrap,Misc.fish.shallow,2005,0.392748616,0.185051412,1
none,bts_bootstrap,Misc.fish.shallow,2007,0.347910814,0.143594207,1
none,bts_bootstrap,Misc.fish.shallow,2009,0.606194009,0.786185998,1
none,bts_bootstrap,Misc.fish.shallow,2011,0.398264772,0.28194838,1
none,bts_bootstrap,Misc.fish.shallow,2013,0.519645511,0.533744733,1
none,bts_bootstrap,Misc.fish.shallow,2015,0.148770053,0.073805832,1
none,bts_bootstrap,Motile.epifauna,1984,0.096399349,0.012044446,1
none,bts_bootstrap,Motile.epifauna,1987,0.024581381,0.005437535,1
none,bts_bootstrap,Motile.epifauna,1990,0.060369442,0.013273031,1
none,bts_bootstrap,Motile.epifauna,1993,0.086681662,0.008963114,1
none,bts_bootstrap,Motile.epifauna,1996,0.122314308,0.026785179,1
none,bts_bootstrap,Motile.epifauna,1999,0.147397407,0.01772994,1
